IBANK,TBANK,CBANK,OBANK,INPIN,TSPIN,CLKPIN,OUTPIN,IOSTANDARD,SLEW,OUTPUT_IMPEDANCE,DESIGN,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,HSLVDCI_15,FAST,RDRV_48_48,OBUFT_MASTER_IOSTANDARD_HSLVDCI_15_SLEW_FAST_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,HSLVDCI_15,MEDIUM,RDRV_48_48,OBUFT_MASTER_IOSTANDARD_HSLVDCI_15_SLEW_MEDIUM_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,HSLVDCI_15,SLOW,RDRV_48_48,OBUFT_MASTER_IOSTANDARD_HSLVDCI_15_SLEW_SLOW_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,HSLVDCI_18,FAST,RDRV_48_48,OBUFT_MASTER_IOSTANDARD_HSLVDCI_18_SLEW_FAST_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,HSLVDCI_18,MEDIUM,RDRV_48_48,OBUFT_MASTER_IOSTANDARD_HSLVDCI_18_SLEW_MEDIUM_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,HSLVDCI_18,SLOW,RDRV_48_48,OBUFT_MASTER_IOSTANDARD_HSLVDCI_18_SLEW_SLOW_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,HSTL_I,FAST,RDRV_48_48,OBUFT_MASTER_IOSTANDARD_HSTL_I_SLEW_FAST_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,HSTL_I,MEDIUM,RDRV_48_48,OBUFT_MASTER_IOSTANDARD_HSTL_I_SLEW_MEDIUM_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,HSTL_I,SLOW,RDRV_48_48,OBUFT_MASTER_IOSTANDARD_HSTL_I_SLEW_SLOW_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,HSTL_I_DCI,FAST,RDRV_48_48,OBUFT_MASTER_IOSTANDARD_HSTL_I_DCI_SLEW_FAST_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,HSTL_I_DCI,MEDIUM,RDRV_48_48,OBUFT_MASTER_IOSTANDARD_HSTL_I_DCI_SLEW_MEDIUM_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,HSTL_I_DCI,SLOW,RDRV_48_48,OBUFT_MASTER_IOSTANDARD_HSTL_I_DCI_SLEW_SLOW_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,HSTL_I_12,FAST,RDRV_48_48,OBUFT_MASTER_IOSTANDARD_HSTL_I_12_SLEW_FAST_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,HSTL_I_12,MEDIUM,RDRV_48_48,OBUFT_MASTER_IOSTANDARD_HSTL_I_12_SLEW_MEDIUM_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,HSTL_I_12,SLOW,RDRV_48_48,OBUFT_MASTER_IOSTANDARD_HSTL_I_12_SLEW_SLOW_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,HSTL_I_DCI_12,FAST,RDRV_48_48,OBUFT_MASTER_IOSTANDARD_HSTL_I_DCI_12_SLEW_FAST_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,HSTL_I_DCI_12,MEDIUM,RDRV_48_48,OBUFT_MASTER_IOSTANDARD_HSTL_I_DCI_12_SLEW_MEDIUM_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,HSTL_I_DCI_12,SLOW,RDRV_48_48,OBUFT_MASTER_IOSTANDARD_HSTL_I_DCI_12_SLEW_SLOW_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,HSTL_I_18,FAST,RDRV_48_48,OBUFT_MASTER_IOSTANDARD_HSTL_I_18_SLEW_FAST_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,HSTL_I_18,MEDIUM,RDRV_48_48,OBUFT_MASTER_IOSTANDARD_HSTL_I_18_SLEW_MEDIUM_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,HSTL_I_18,SLOW,RDRV_48_48,OBUFT_MASTER_IOSTANDARD_HSTL_I_18_SLEW_SLOW_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,HSTL_I_DCI_18,FAST,RDRV_48_48,OBUFT_MASTER_IOSTANDARD_HSTL_I_DCI_18_SLEW_FAST_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,HSTL_I_DCI_18,MEDIUM,RDRV_48_48,OBUFT_MASTER_IOSTANDARD_HSTL_I_DCI_18_SLEW_MEDIUM_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,HSTL_I_DCI_18,SLOW,RDRV_48_48,OBUFT_MASTER_IOSTANDARD_HSTL_I_DCI_18_SLEW_SLOW_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,HSUL_12,FAST,RDRV_48_48,OBUFT_MASTER_IOSTANDARD_HSUL_12_SLEW_FAST_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,HSUL_12,MEDIUM,RDRV_48_48,OBUFT_MASTER_IOSTANDARD_HSUL_12_SLEW_MEDIUM_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,HSUL_12,SLOW,RDRV_48_48,OBUFT_MASTER_IOSTANDARD_HSUL_12_SLEW_SLOW_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,HSUL_12_DCI,FAST,RDRV_48_48,OBUFT_MASTER_IOSTANDARD_HSUL_12_DCI_SLEW_FAST_OUTPUT_IMPEDANCE_RDRV_48_48,
